ListingNumber,Term,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,AmountDelinquent,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,LoanOriginalAmount,LoanOriginationDate
667213,60,Past Due (91-120 days),0.2816,0.2557,0.2457,5,Business,FL,Administrative Assistant,Employed,0,1,7,7,0,0.0,15000.0,6000,2012
476138,36,Completed,0.37699,0.34,0.33,6,Business,MI,Analyst,Employed,0,1,32,31,1,0.0,10000.0,12000,2010
536337,36,Completed,0.25486,0.2205,0.2105,3,Debt Consolidation,OH,Nurse (RN),Full-time,0,3,78,78,0,0.0,17500.0,11000,2011
738761,60,Current,0.26128,0.2359,0.2259,6,Home Improvement,MO,Other,Retired,0,1,35,35,0,0.0,1500.0,3500,2013
1086351,36,Completed,0.13799,0.1099,0.0999,10,Debt Consolidation,MI,Other,Employed,0,2,19,19,0,0.0,13000.0,3000,2013
539238,36,Current,0.18986,0.1609,0.1509,6,Debt Consolidation,NV,Nurse (LPN),Employed,0,1,6,6,0,0.0,9000.0,9000,2011
539919,36,Current,0.18986,0.1609,0.1509,6,Debt Consolidation,RI,Analyst,Employed,0,1,17,17,0,0.0,1000.0,5500,2011
676339,60,Current,0.28848,0.2624,0.2524,6,Debt Consolidation,NC,Food Service,Employed,0,1,12,12,0,0.0,7000.0,4000,2012
585668,36,Current,0.18316,0.1469,0.1369,6,Home Improvement,CT,Other,Full-time,0,1,29,29,0,0.0,5000.0,7500,2012
595269,60,Current,0.24702,0.222,0.212,4,Business,CA,Investor,Self-employed,0,1,6,5,1,0.0,7500.0,15000,2012
542214,36,Current,0.25494,0.2171,0.2071,5,Debt Consolidation,OR,Other,Full-time,0,1,10,10,0,0.0,5000.0,15000,2011
918278,60,Current,0.15271,0.1299,0.1199,7,Debt Consolidation,CA,Civil Service,Employed,0,2,17,17,0,0.0,24000.0,15000,2013
585381,60,Current,0.35838,0.3304,0.3204,3,Debt Consolidation,CO,Retail Management,Full-time,0,3,75,75,0,0.0,8000.0,4000,2012
569852,60,Current,0.25451,0.2293,0.2193,5,Taxes,CA,Computer Programmer,Self-employed,0,1,35,34,1,0.0,3000.0,11000,2012
604287,36,Past Due (31-60 days),0.33973,0.2999,0.2899,2,Home Improvement,WA,Medical Technician,Employed,3109,1,9,9,0,0.0,7000.0,4000,2012
685080,60,Past Due (1-15 days),0.34408,0.3165,0.3065,4,Debt Consolidation,OH,Other,Employed,31,1,1,0,1,0.0,4000.0,4000,2012
1009538,60,Current,0.22601,0.2015,0.1915,7,Debt Consolidation,TX,Other,Employed,0,1,8,8,0,0.0,4000.0,15000,2013
1121139,36,Current,0.0903,0.0769,0.0669,11,Debt Consolidation,FL,Professional,Employed,0,2,52,40,12,0.0,14500.0,13000,2014
487454,36,Completed,0.15549,0.134,0.124,8,Debt Consolidation,OK,Other,Full-time,0,1,29,28,1,0.0,15000.0,15000,2010
1115642,60,Current,0.17327,0.15,0.14,4,Debt Consolidation,MA,Teacher,Employed,0,1,7,7,0,0.0,10000.0,15000,2014
903218,36,Current,0.23898,0.2015,0.1915,5,Debt Consolidation,UT,Sales - Commission,Employed,0,1,9,9,0,0.0,3000.0,6000,2013
668351,60,Completed,0.19907,0.1752,0.1652,6,Home Improvement,MO,Nurse (RN),Employed,0,1,19,19,0,0.0,14584.06,10000,2012
439649,36,Completed,0.16107,0.1395,0.1295,10,Debt Consolidation,NY,Civil Service,Full-time,0,1,18,18,0,0.0,1000.0,1800,2009
659410,60,Current,0.28848,0.2624,0.2524,5,Debt Consolidation,CO,Other,Employed,0,1,35,35,0,0.0,3000.0,6500,2012
595549,36,Current,0.12427,0.0964,0.0864,8,Debt Consolidation,CA,Teacher,Employed,0,2,47,47,0,0.0,14000.0,2000,2012
511795,60,Current,0.14766,0.1296,0.1196,8,Debt Consolidation,MD,Other,Employed,0,1,1,1,0,0.0,6000.0,25000,2012
633821,36,Completed,0.23121,0.1939,0.1839,6,Debt Consolidation,OR,Professional,Employed,0,2,10,10,0,0.0,11500.0,9000,2012
465337,36,Completed,0.27306,0.25,0.24,5,Auto,GA,Sales - Commission,Full-time,0,2,61,61,0,0.0,7001.0,5400,2010
506495,36,Completed,0.32576,0.2899,0.2799,3,Home Improvement,LA,Police Officer/Correction Officer,Full-time,0,1,11,11,0,0.0,1150.0,4000,2011
768841,36,Current,0.31032,0.2712,0.2612,5,Debt Consolidation,CA,Teacher,Employed,0,1,36,35,1,0.0,5000.0,4000,2013
749361,36,Current,0.13697,0.1089,0.0989,8,Household Expenses,CA,Other,Full-time,9258,2,36,36,0,0.0,7000.0,2000,2013
528192,36,Completed,0.25486,0.2205,0.2105,5,Home Improvement,VA,Executive,Full-time,0,2,50,50,0,0.0,5000.0,5000,2011
530114,36,Completed,0.27467,0.2399,0.2299,5,Debt Consolidation,IL,Professional,Employed,1144,1,33,25,8,0.0,3000.0,5000,2011
574224,36,Current,0.33973,0.2999,0.2899,2,Vacation,IL,Executive,Employed,0,1,30,30,0,0.0,5000.0,4000,2012
1132280,36,Current,0.31668,0.2774,0.2674,4,Taxes,NE,Professional,Employed,0,2,27,26,1,0.0,11500.0,8000,2014
495582,36,Completed,0.20321,0.1699,0.1599,8,Other,IL,Accountant/CPA,Employed,0,1,32,32,0,0.0,7000.0,4000,2011
570257,36,Completed,0.11766,0.0899,0.0799,8,Business,MI,Other,Employed,276,1,9,9,0,0.0,4500.0,4500,2012
870834,36,Current,0.35356,0.3134,0.3034,2,Business,IL,Sales - Retail,Employed,0,1,14,14,0,0.0,8000.0,4000,2013
551407,36,Current,0.28339,0.2449,0.2349,7,Other,VA,Professional,Employed,0,2,16,16,0,0.0,25000.0,10000,2012
548106,60,Completed,0.21989,0.2005,0.1905,7,Debt Consolidation,OH,Accountant/CPA,Employed,0,1,7,7,0,0.0,4500.0,6500,2012
601116,60,Past Due (1-15 days),0.28704,0.261,0.251,5,Debt Consolidation,IL,Professional,Employed,1012,1,9,9,0,0.0,5000.0,8000,2012
590442,36,Completed,0.18316,0.1469,0.1369,7,Business,OH,Clerical,Employed,0,1,1,1,0,0.0,3000.0,2000,2012
421833,36,Defaulted,0.29334,0.27,0.26,7,Home Improvement,MS,Professional,Full-time,0,1,2,2,0,0.0,1000.0,2500,2009
426044,36,Completed,0.28675,0.2635,0.2535,8,Business,CA,Nurse (RN),Full-time,0,2,42,42,0,0.0,6708.0,6000,2009
951988,36,Current,0.13799,0.1099,0.0999,10,Debt Consolidation,MI,Other,Employed,0,1,35,35,0,0.0,1300.0,6500,2013
726072,60,Completed,0.26128,0.2359,0.2259,6,Auto,MD,Engineer - Electrical,Employed,123,1,9,9,0,0.0,5000.0,5000,2013
643994,12,Completed,0.16033,0.1033,0.0933,5,Business,NY,Laborer,Employed,15,1,2,2,0,0.0,1000.0,2000,2012
1023614,60,Current,0.18965,0.166,0.156,8,Debt Consolidation,MN,Other,Employed,0,6,54,54,0,0.0,22332.0,4000,2013
616736,60,Current,0.29464,0.2684,0.2584,4,Debt Consolidation,OK,Other,Employed,0,1,9,9,0,0.0,4000.0,6500,2012
571750,60,Chargedoff,0.35838,0.3304,0.3204,3,Debt Consolidation,UT,Civil Service,Full-time,0,2,52,48,4,0.0,9500.0,4000,2012
608299,60,Chargedoff,0.28704,0.261,0.251,5,Debt Consolidation,FL,Civil Service,Employed,61821,1,20,20,0,0.0,3000.0,10000,2012
1036443,36,Current,0.12691,0.099,0.089,9,Home Improvement,MA,Professional,Employed,0,1,11,11,0,0.0,10000.0,20000,2013
525913,36,Current,0.34887,0.3125,0.3025,2,Home Improvement,IN,Professional,Employed,0,3,87,78,9,0.0,10000.0,4000,2011
885892,36,Current,0.2878,0.2492,0.2392,3,Debt Consolidation,VA,Professional,Employed,0,1,15,15,0,0.0,4000.0,8000,2013
881361,36,Current,0.18725,0.1509,0.1409,6,Debt Consolidation,FL,Tradesman - Electrician,Employed,0,1,20,20,0,0.0,9000.0,10000,2013
925830,36,Current,0.28544,0.2469,0.2369,4,Business,OH,Other,Employed,0,3,20,16,4,0.0,11000.0,2000,2013
749687,36,Completed,0.13138,0.1034,0.0934,9,Debt Consolidation,CA,Sales - Commission,Employed,0,1,5,5,0,0.0,8000.0,10000,2013
560544,36,Current,0.22456,0.1874,0.1774,3,Medical/Dental,MA,Skilled Labor,Employed,0,1,32,32,0,0.0,6100.0,2500,2012
666232,60,Completed,0.28848,0.2624,0.2524,3,Other,CA,Administrative Assistant,Employed,0,1,10,7,3,0.0,4000.0,4500,2012
1188678,60,Current,0.16662,0.1435,0.1335,10,Debt Consolidation,KY,Other,Employed,0,2,48,48,0,0.0,4000.0,15000,2014
617262,36,Completed,0.35797,0.3177,0.3077,1,Debt Consolidation,CA,Professional,Employed,0,1,36,29,5,2.0,4000.0,4000,2012
478580,36,Completed,0.29265,0.2575,0.2475,8,Debt Consolidation,MO,Professional,Full-time,0,1,10,10,0,0.0,10000.0,9000,2010
1027687,36,Current,0.06726,0.0605,0.0505,11,Home Improvement,CA,Professional,Employed,0,1,11,11,0,0.0,15000.0,20000,2013
503020,36,Current,0.25424,0.2199,0.2099,6,Debt Consolidation,IL,Professional,Full-time,0,2,52,51,1,0.0,7200.0,5500,2011
723370,60,Current,0.09959,0.0779,0.0679,10,Debt Consolidation,IN,Professional,Employed,0,1,11,11,0,0.0,3999.0,21000,2013
558596,36,Completed,0.28339,0.2449,0.2349,6,Debt Consolidation,CO,Clerical,Full-time,0,3,70,70,0,0.0,9500.0,4000,2012
1105073,60,Current,0.16304,0.14,0.13,10,Debt Consolidation,FL,Other,Employed,0,2,37,37,0,0.0,8000.0,20000,2014
539877,36,Current,0.18986,0.1609,0.1509,6,Debt Consolidation,AZ,Professional,Employed,0,1,31,30,1,0.0,1300.0,2000,2011
1180172,60,Current,0.21345,0.189,0.179,7,Debt Consolidation,VA,Professor,Employed,0,1,9,9,0,0.0,9000.0,15000,2014
958678,60,Current,0.17839,0.155,0.145,11,Debt Consolidation,VA,Professional,Employed,1620,1,9,8,1,0.0,10535.85,25000,2013
645101,36,Completed,0.2706,0.2324,0.2224,3,Green Loans,CA,Professional,Employed,0,3,30,30,0,0.0,13000.0,15000,2012
886649,36,Current,0.32538,0.2859,0.2759,4,Debt Consolidation,AL,Medical Technician,Employed,0,1,32,19,13,0.0,5000.0,2500,2013
450696,36,Completed,0.27306,0.25,0.24,8,Debt Consolidation,ID,Computer Programmer,Full-time,0,1,24,24,0,0.0,1000.0,7500,2010
620564,36,Completed,0.17754,0.1414,0.1314,6,Debt Consolidation,CA,Other,Employed,0,3,64,64,0,0.0,15900.0,5000,2012
435179,36,Completed,0.34781,0.3111,0.3011,7,Other,FL,Tradesman - Mechanic,Full-time,1013,1,11,11,0,0.0,1025.0,1100,2009
691446,36,Current,0.29537,0.2566,0.2466,7,Vacation,AR,Other,Employed,0,4,54,54,0,0.0,6200.0,2500,2013
447844,36,Completed,0.17018,0.1485,0.1385,8,Home Improvement,MN,Professional,Full-time,0,1,22,21,1,0.0,15000.0,9000,2010
507636,36,Completed,0.124,0.1029,0.0929,8,Debt Consolidation,CA,Professional,Full-time,0,2,24,23,1,0.0,7000.0,6500,2011
880959,36,Past Due (61-90 days),0.35356,0.3134,0.3034,3,Debt Consolidation,WA,Other,Employed,0,1,9,9,0,0.0,7500.0,4000,2013
937032,60,Completed,0.13227,0.1099,0.0999,11,Debt Consolidation,NC,Other,Employed,0,1,4,4,0,0.0,25000.0,20000,2013
775521,36,Current,0.15833,0.1299,0.1199,7,Other,IL,Sales - Retail,Employed,0,1,1,1,0,0.0,5000.0,6000,2013
871699,36,Completed,0.28032,0.2419,0.2319,8,Home Improvement,OH,Engineer - Electrical,Employed,0,3,60,56,4,0.0,20800.0,10000,2013
600127,60,Current,0.28704,0.261,0.251,3,Home Improvement,IL,Administrative Assistant,Employed,15,1,9,9,0,0.0,5000.0,15000,2012
664413,60,Current,0.19907,0.1752,0.1652,6,Vacation,CO,Construction,Employed,0,1,6,6,0,0.0,4000.0,4700,2012
821450,60,Past Due (61-90 days),0.33698,0.3096,0.2996,3,Debt Consolidation,MD,Executive,Employed,3949,1,22,21,1,0.0,2000.0,2000,2013
438374,36,Completed,0.2974,0.274,0.264,8,Student Use,CA,Military Officer,Part-time,0,1,17,17,0,0.0,10000.0,2000,2009
627005,36,Completed,0.2706,0.2324,0.2224,3,Auto,AZ,Sales - Commission,Employed,0,2,37,37,0,0.0,6000.0,5000,2012
939520,36,Current,0.09,0.0766,0.0666,11,Home Improvement,CA,Executive,Employed,0,2,22,22,0,0.0,9000.0,10500,2013
631398,36,Current,0.19645,0.1599,0.1499,4,Debt Consolidation,MN,Computer Programmer,Employed,0,1,7,6,1,0.0,5000.0,4622,2012
634316,60,Chargedoff,0.17184,0.1486,0.1386,7,Auto,GA,Other,Self-employed,0,1,7,7,0,0.0,10000.0,15000,2012
725459,60,Current,0.26877,0.2432,0.2332,2,Taxes,CA,Tradesman - Mechanic,Employed,0,2,27,25,2,0.0,7000.0,7000,2013
464695,36,Completed,0.23682,0.199,0.189,9,Other,CA,Other,Full-time,0,1,10,10,0,0.0,1000.0,1000,2010
524128,36,Past Due (1-15 days),0.34621,0.3099,0.2999,3,Other,MN,Other,Retired,0,1,14,14,0,0.0,3500.0,7500,2011
672136,36,Completed,0.29537,0.2566,0.2466,1,Business,NE,Construction,Self-employed,0,1,5,5,0,0.0,4000.0,15000,2012
1144487,60,Current,0.18068,0.157,0.147,9,Medical/Dental,VA,Professional,Employed,0,1,10,10,0,0.0,14000.0,15000,2014
692470,36,Current,0.2353,0.1979,0.1879,4,Taxes,PA,Nurse (RN),Employed,0,1,11,11,0,0.0,4000.0,15000,2013
1019837,36,Current,0.21699,0.18,0.17,4,Debt Consolidation,TX,Professional,Employed,0,2,59,59,0,0.0,9000.0,15000,2013
604056,60,Chargedoff,0.28704,0.261,0.251,5,Debt Consolidation,GA,Food Service Management,Employed,0,1,12,12,0,0.0,5658.91,15000,2012
1037880,36,Current,0.06726,0.0605,0.0505,11,Other,NJ,Other,Employed,0,1,19,19,0,0.0,6000.0,4500,2014
610818,36,Current,0.12427,0.0964,0.0864,8,Debt Consolidation,OH,Engineer - Mechanical,Employed,0,1,12,12,0,0.0,10000.0,17800,2012
718342,60,Current,0.10878,0.0869,0.0769,10,Debt Consolidation,IL,Professional,Employed,0,2,25,23,2,0.0,42582.57,15000,2013
460226,36,Completed,0.08641,0.083,0.073,8,Other,CA,Civil Service,Full-time,0,1,18,18,0,0.0,2000.0,7200,2010
476157,36,Completed,0.29265,0.2575,0.2475,7,Debt Consolidation,GA,Sales - Commission,Employed,0,2,66,62,2,2.0,26000.0,7000,2010
621638,36,Current,0.12528,0.0974,0.0874,8,Debt Consolidation,OR,Executive,Employed,0,1,16,16,0,0.0,7000.0,20000,2012
939704,36,Current,0.33973,0.2999,0.2899,2,Home Improvement,MS,Nurse (RN),Employed,0,1,10,10,0,0.0,6000.0,4000,2013
887963,60,Current,0.29341,0.2672,0.2572,2,Debt Consolidation,MI,Administrative Assistant,Employed,0,3,41,41,0,0.0,18000.0,4000,2013
678110,36,Current,0.27285,0.2346,0.2246,3,Business,TX,Other,Employed,0,1,13,13,0,0.0,10000.0,8000,2012
952032,36,Current,0.09,0.0766,0.0666,11,Home Improvement,WA,Doctor,Employed,0,2,58,48,10,0.0,10500.0,16000,2013
469029,36,Completed,0.29265,0.2575,0.2475,7,Debt Consolidation,TX,Accountant/CPA,Employed,203,1,35,34,1,0.0,2000.0,3000,2010
610136,36,Completed,0.18316,0.1469,0.1369,6,Debt Consolidation,NE,Other,Full-time,0,1,8,8,0,0.0,2000.0,6000,2012
620322,60,Completed,0.30111,0.2747,0.2647,3,Debt Consolidation,NY,Other,Part-time,0,2,27,27,0,0.0,5000.0,5000,2012
448910,36,Completed,0.28574,0.2625,0.2525,8,Other,CA,Clerical,Full-time,0,1,26,26,0,0.0,6000.0,4500,2010
433988,36,Completed,0.2832,0.26,0.25,8,Debt Consolidation,MA,Professional,Full-time,0,1,23,23,0,0.0,8200.0,3700,2009
794157,36,Completed,0.22354,0.1864,0.1764,4,Auto,AZ,Analyst,Employed,0,1,5,5,0,0.0,11000.0,2000,2013
605270,60,Chargedoff,0.24702,0.222,0.212,5,Medical/Dental,GA,Other,Employed,0,1,9,7,2,0.0,5300.0,11000,2012
1136989,36,FinalPaymentInProgress,0.18275,0.1465,0.1365,6,Medical/Dental,MO,Other,Employed,0,3,28,28,0,0.0,10700.0,5300,2014
617242,36,Current,0.17754,0.1414,0.1314,8,Home Improvement,CA,Accountant/CPA,Employed,3030,1,9,9,0,0.0,7500.0,20000,2012
519646,36,Completed,0.08331,0.0799,0.0699,10,Debt Consolidation,VA,Analyst,Employed,0,1,11,11,0,0.0,3700.0,4000,2011
605453,60,Past Due (1-15 days),0.20705,0.183,0.173,6,Debt Consolidation,CA,Other,Employed,517,1,31,28,3,0.0,1800.0,14000,2012
517537,60,Chargedoff,0.24252,0.2199,0.2099,6,Debt Consolidation,MS,Military Enlisted,Employed,7733,1,19,18,1,0.0,5000.0,15000,2011
506163,36,Current,0.32576,0.2899,0.2799,1,Debt Consolidation,KS,Executive,Employed,62903,1,35,28,7,0.0,5000.0,7000,2011
834035,36,Current,0.15833,0.1299,0.1199,7,Household Expenses,AL,Other,Employed,0,3,47,47,0,0.0,8700.0,4500,2013
539462,36,Current,0.29254,0.2574,0.2474,4,Other,OH,Accountant/CPA,Employed,0,1,35,35,0,0.0,2000.0,2000,2011
494515,36,Completed,0.08331,0.0799,0.0699,10,Business,GA,Chemist,Full-time,0,1,18,18,0,0.0,6000.0,9500,2011
964549,60,Current,0.16294,0.1399,0.1299,10,Other,CA,Civil Service,Employed,0,2,29,29,0,0.0,8000.0,10000,2013
1163264,36,Current,0.14206,0.1139,0.1039,10,Debt Consolidation,MA,Other,Employed,0,1,1,1,0,0.0,4000.0,8000,2014
758912,60,Current,0.31848,0.2916,0.2816,2,Other,CA,Other,Employed,0,1,7,7,0,0.0,2000.0,2500,2013
811363,36,Current,0.35356,0.3134,0.3034,3,Taxes,NY,Analyst,Employed,0,2,29,29,0,0.0,20500.0,4000,2013
424808,36,Completed,0.32624,0.29,0.28,6,Debt Consolidation,MD,Clerical,Full-time,0,1,17,12,5,0.0,6250.0,1100,2009
855616,60,Current,0.17061,0.1474,0.1374,8,Debt Consolidation,NJ,Analyst,Employed,0,1,10,10,0,0.0,4000.0,15000,2013
700403,36,Current,0.35356,0.3134,0.3034,2,Business,NV,Other,Not employed,0,1,6,6,0,0.0,15000.0,4000,2013
877828,36,Current,0.14857,0.1203,0.1103,9,Debt Consolidation,CA,Retail Management,Employed,0,2,49,49,0,0.0,7000.0,10000,2013
437866,36,Completed,0.09142,0.088,0.078,10,Debt Consolidation,CA,Professional,Full-time,0,1,8,7,1,0.0,5000.0,2000,2009
608013,36,Completed,0.26681,0.2287,0.2187,7,Debt Consolidation,MO,Professional,Employed,0,2,71,49,22,0.0,8900.0,10000,2012
744178,36,Current,0.13138,0.1034,0.0934,9,Business,FL,Landscaping,Self-employed,13185,3,57,57,0,0.0,13000.0,10000,2013
528778,36,Chargedoff,0.27467,0.2399,0.2299,4,Debt Consolidation,GA,Construction,Self-employed,194,1,35,32,2,1.0,12000.0,10000,2011
659430,60,Completed,0.23656,0.2118,0.2018,4,Auto,CA,Police Officer/Correction Officer,Employed,1775,2,11,11,0,0.0,15752.52,4500,2012
615322,36,Current,0.12528,0.0974,0.0874,8,Home Improvement,CA,Computer Programmer,Employed,0,2,65,65,0,0.0,19500.0,17000,2012
823921,36,Completed,0.3179,0.2786,0.2686,3,Debt Consolidation,MO,Other,Employed,0,1,11,10,1,0.0,10000.0,4000,2013
635223,36,Current,0.21434,0.1774,0.1674,4,Home Improvement,MD,Other,Employed,0,1,9,9,0,0.0,5000.0,15000,2012
1059714,36,Current,0.25279,0.215,0.205,4,Business,TN,Sales - Retail,Employed,0,4,97,94,3,0.0,18500.0,10000,2013
534888,36,Current,0.18751,0.1656,0.1556,7,Business,CA,Professional,Employed,0,2,22,22,0,0.0,35000.0,13000,2011
711851,36,Current,0.23939,0.2019,0.1919,7,Home Improvement,IL,Other,Other,0,2,55,55,0,0.0,3500.0,4200,2013
711505,60,Current,0.21566,0.1914,0.1814,6,Debt Consolidation,HI,Nurse (RN),Employed,0,2,59,58,1,0.0,8600.0,10000,2013
524131,60,Completed,0.29371,0.2699,0.2599,3,Debt Consolidation,OR,Food Service Management,Employed,0,1,18,17,1,0.0,3000.0,8000,2011
540668,36,Past Due (61-90 days),0.35244,0.3123,0.3023,2,Debt Consolidation,CA,Professional,Employed,0,1,13,13,0,0.0,4000.0,7500,2011
460757,36,Completed,0.29588,0.2725,0.2625,7,Other,MI,Skilled Labor,Full-time,0,2,7,7,0,0.0,30000.0,7500,2010
517938,36,Current,0.22362,0.1899,0.1799,6,Debt Consolidation,TX,Teacher,Full-time,0,1,11,11,0,0.0,4200.0,15000,2011
617775,36,Completed,0.19645,0.1599,0.1499,5,Debt Consolidation,MA,Sales - Commission,Employed,0,1,7,7,0,0.0,7500.0,10000,2012
521825,36,Current,0.34621,0.3099,0.2999,7,Business,GA,Computer Programmer,Full-time,0,1,35,35,0,0.0,7500.0,7500,2011
540705,60,Current,0.09325,0.0911,0.0811,10,Medical/Dental,CO,Computer Programmer,Employed,0,1,22,22,0,0.0,9000.0,20000,2012
804870,36,Current,0.20053,0.1639,0.1539,5,Household Expenses,VA,Teacher,Employed,0,1,4,4,0,0.0,2500.0,2000,2013
712886,60,Current,0.15629,0.1334,0.1234,9,Home Improvement,GA,Tradesman - Electrician,Employed,0,2,15,15,0,0.0,7100.0,9000,2013
581966,36,Chargedoff,0.33973,0.2999,0.2899,1,Debt Consolidation,NC,Truck Driver,Employed,0,1,12,11,1,0.0,7500.0,4000,2012
504797,36,Completed,0.32576,0.2899,0.2799,3,Debt Consolidation,CA,Sales - Retail,Self-employed,0,1,16,16,0,0.0,8000.0,7500,2011
484692,36,Completed,0.37699,0.34,0.33,6,Debt Consolidation,MI,Professional,Full-time,0,1,35,33,2,0.0,3000.0,3000,2010
592972,36,Chargedoff,0.26681,0.2287,0.2187,3,Debt Consolidation,AZ,Car Dealer,Employed,0,1,4,3,1,0.0,4000.0,8000,2012
626748,60,Current,0.20931,0.1852,0.1752,6,Debt Consolidation,TX,Other,Employed,0,1,10,10,0,0.0,10000.0,13000,2012
489756,36,Chargedoff,0.28488,0.2499,0.2399,8,Debt Consolidation,GA,Professional,Employed,0,1,35,32,2,1.0,2500.0,7500,2011
428527,36,Chargedoff,0.28675,0.2635,0.2535,7,Debt Consolidation,OH,Computer Programmer,Full-time,0,1,15,15,0,0.0,7500.0,5000,2009
783349,60,Current,0.24282,0.2179,0.2079,10,Debt Consolidation,NJ,Computer Programmer,Full-time,0,3,59,59,0,0.0,8500.0,19000,2013
1033253,36,Current,0.28595,0.2474,0.2374,2,Debt Consolidation,SC,Nurse (RN),Employed,0,1,10,10,0,0.0,4000.0,10000,2013
563434,60,Current,0.25451,0.2293,0.2193,2,Business,OR,Executive,Employed,44744,1,27,27,0,0.0,5500.0,15000,2012
799723,36,Current,0.3179,0.2786,0.2686,2,Debt Consolidation,CA,Other,Self-employed,2007,1,9,9,0,0.0,15000.0,4000,2013
828213,60,Current,0.20081,0.1769,0.1669,6,Debt Consolidation,IL,Accountant/CPA,Employed,0,1,12,12,0,0.0,15000.0,15000,2013
748094,36,Current,0.19236,0.1559,0.1459,3,Cosmetic Procedure,NH,Other,Full-time,0,4,29,29,0,0.0,21500.0,2000,2013
930105,60,Current,0.1476,0.1249,0.1149,10,Debt Consolidation,CA,Religious,Full-time,0,1,1,1,0,0.0,4000.0,15000,2013
653263,60,Completed,0.34408,0.3165,0.3065,5,Debt Consolidation,TX,Other,Employed,388,1,12,12,0,0.0,4500.0,5000,2012
508388,36,Chargedoff,0.34621,0.3099,0.2999,3,Home Improvement,AL,Skilled Labor,Full-time,0,1,35,35,0,0.0,3000.0,7000,2011
425873,36,Completed,0.17022,0.14,0.13,10,Home Improvement,TN,Clerical,Full-time,0,1,16,16,0,0.0,2500.0,1200,2009
512573,60,Chargedoff,0.21989,0.2005,0.1905,6,Home Improvement,FL,Professional,Full-time,0,1,12,12,0,0.0,4200.0,15000,2011
417555,36,Completed,0.23757,0.215,0.205,8,Debt Consolidation,AR,Other,Full-time,0,1,13,13,0,0.0,12000.0,4000,2009
571396,36,Current,0.26681,0.2287,0.2187,6,Other,SC,Teacher,Employed,10149,1,35,35,0,0.0,15000.0,10500,2012
616170,60,Past Due (1-15 days),0.26887,0.2433,0.2333,3,Medical/Dental,MA,Professional,Employed,0,2,23,23,0,0.0,8900.0,12000,2012
552746,36,Chargedoff,0.2399,0.2024,0.1924,4,Home Improvement,NY,Teacher,Employed,0,2,22,22,0,0.0,7300.0,10000,2012
657366,36,Current,0.19645,0.1599,0.1499,4,Debt Consolidation,MN,Retail Management,Full-time,0,3,92,89,2,1.0,6100.0,15000,2012
467549,36,Completed,0.18173,0.1599,0.1499,9,Debt Consolidation,CA,Analyst,Full-time,0,1,29,29,0,0.0,2550.0,4000,2010
731912,12,Current,0.23422,0.1563,0.1463,8,Medical/Dental,CA,Medical Technician,Employed,95280,1,9,9,0,0.0,4000.0,6000,2013
1140740,60,Current,0.16304,0.14,0.13,10,Business,MI,Construction,Employed,0,1,22,22,0,0.0,15000.0,15000,2014
615507,60,Defaulted,0.26159,0.2362,0.2262,5,Auto,MN,Administrative Assistant,Employed,0,2,17,17,0,0.0,4000.0,2000,2012
482554,36,Completed,0.38723,0.35,0.34,1,Other,FL,Clerical,Full-time,591,1,34,33,1,0.0,2500.0,2000,2010
787457,36,Current,0.08325,0.0699,0.0599,10,Home Improvement,MI,Other,Employed,0,1,14,14,0,0.0,20000.0,6500,2013
453072,36,Completed,0.36539,0.341,0.331,6,Business,AL,Computer Programmer,Full-time,0,2,63,61,2,0.0,6500.0,5000,2010
880823,60,Current,0.15629,0.1334,0.1234,8,Debt Consolidation,VA,Flight Attendant,Employed,0,1,18,18,0,0.0,4000.0,6000,2013
811120,36,Current,0.20053,0.1639,0.1539,5,Debt Consolidation,GA,Other,Other,989,1,18,18,0,0.0,5000.0,10000,2013
748976,36,Current,0.19236,0.1559,0.1459,6,Debt Consolidation,TX,Teacher,Employed,0,2,48,48,0,0.0,7000.0,15000,2013
448806,36,Defaulted,0.39153,0.35,0.34,4,Debt Consolidation,IN,Other,Full-time,0,1,19,11,8,0.0,1000.0,1000,2010
995810,60,Current,0.20398,0.18,0.17,7,Debt Consolidation,VA,Other,Employed,0,1,12,12,0,0.0,4000.0,13000,2013
589383,36,Chargedoff,0.33973,0.2999,0.2899,1,Taxes,AL,Other,Other,0,1,6,6,0,0.0,4000.0,4000,2012
930351,60,Current,0.13227,0.1099,0.0999,11,Other,IL,Computer Programmer,Employed,0,2,37,37,0,0.0,4500.0,7500,2013
799998,36,Current,0.33286,0.2932,0.2832,2,Vacation,TX,Police Officer/Correction Officer,Employed,2874,1,14,14,0,0.0,4000.0,2000,2013
726251,36,Current,0.25781,0.2199,0.2099,6,Debt Consolidation,MD,Other,Other,0,1,27,27,0,0.0,9500.0,4000,2013
490043,12,Completed,0.15797,0.1,0.09,8,Other,MS,Administrative Assistant,Full-time,0,1,11,11,0,0.0,7800.0,3200,2011
518695,36,Completed,0.124,0.1029,0.0929,8,Debt Consolidation,CA,Professional,Employed,0,1,11,11,0,0.0,3350.0,4000,2011
